cnt,rolling_mean_5,rolling_mean_6,rolling_mean_7,rolling_mean_8,rolling_mean_9,rolling_mean_10,rolling_std_5,rolling_std_6,rolling_std_7,rolling_std_8,rolling_std_9,rolling_std_10,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_diff_1,lag_diff_2,lag_diff_3,lag_diff_4,lag_diff_5,lag_diff_6,lag_diff_7,lag_diff_8,lag_diff_9,lag_diff_10,day_of_week,month,Y
54,65.2,64.83333333333333,64.42857142857143,61.0,61.55555555555556,58.9,9.523654760647302,8.565434412022924,7.892129895390356,12.142016777643299,11.479450238481707,13.698742845807258,65.0,61.0,66.0,80.0,63.0,62.0,37.0,66.0,35.0,67.0,-11.0,-7.0,-12.0,-26.0,-9.0,-8.0,17.0,-12.0,19.0,-13.0,2,2,65.0
51,59.4,62.833333333333336,62.857142857142854,62.75,59.888888888888886,60.5,6.655824516917496,10.30372101071581,9.40617831407583,8.713700214522609,11.836853936376468,11.32597800535467,54.0,65.0,61.0,66.0,80.0,63.0,62.0,37.0,66.0,35.0,-3.0,-14.0,-10.0,-15.0,-29.0,-12.0,-11.0,14.0,-15.0,16.0,3,2,54.0
53,56.8,58.333333333333336,61.42857142857143,61.625,61.666666666666664,59.2,5.9329587896765315,6.501281924871918,10.113640011673061,9.379879682444908,8.77496438739212,11.370527203647546,51.0,54.0,65.0,61.0,66.0,80.0,63.0,62.0,37.0,66.0,2.0,-1.0,-12.0,-8.0,-13.0,-27.0,-10.0,-9.0,16.0,-13.0,4,2,51.0
81,60.8,60.833333333333336,61.57142857142857,63.875,63.77777777777778,63.6,12.537942414925984,11.214573851318043,10.422046229941968,11.642747589318054,10.894697996936143,10.28699286585843,53.0,51.0,54.0,65.0,61.0,66.0,80.0,63.0,62.0,37.0,28.0,30.0,27.0,16.0,20.0,15.0,1.0,18.0,19.0,44.0,5,2,53.0
89,65.6,65.5,64.85714285714286,65.0,66.66666666666667,66.3,17.966635745180568,16.071714283174646,14.769660021234648,13.680016708427555,13.738631664034084,13.004700005083635,81.0,53.0,51.0,54.0,65.0,61.0,66.0,80.0,63.0,62.0,8.0,36.0,38.0,35.0,24.0,28.0,23.0,9.0,26.0,27.0,6,2,81.0
45,63.8,62.166666666666664,62.57142857142857,62.375,62.77777777777778,64.5,19.778776504121787,18.13743826086436,16.591736325222694,15.371007030863563,14.428944675354618,14.653403093555513,89.0,81.0,53.0,51.0,54.0,65.0,61.0,66.0,80.0,63.0,-44.0,-36.0,-8.0,-6.0,-9.0,-20.0,-16.0,-21.0,-35.0,-18.0,0,2,89.0
51,63.8,61.666666666666664,60.57142857142857,61.125,61.111111111111114,61.6,19.778776504121787,18.446318512556005,17.086614086833613,15.89642817023461,14.869805348796973,14.104372844381748,45.0,89.0,81.0,53.0,51.0,54.0,65.0,61.0,66.0,80.0,6.0,-38.0,-30.0,-2.0,0.0,-3.0,-14.0,-10.0,-15.0,-29.0,1,2,45.0
55,64.2,62.333333333333336,60.714285714285715,59.875,60.44444444444444,60.5,19.52434377898525,18.051777382481383,17.026589849548905,15.941298566929857,15.009256403225901,14.151953143569184,51.0,45.0,89.0,81.0,53.0,51.0,54.0,65.0,61.0,66.0,4.0,10.0,-34.0,-26.0,2.0,4.0,1.0,-10.0,-6.0,-11.0,2,2,51.0
36,55.2,59.5,58.57142857142857,57.625,57.22222222222222,58.0,20.203960007879648,20.916500663351883,19.251468713296852,18.02329841383884,16.902498171703627,16.124515496597095,55.0,51.0,45.0,89.0,81.0,53.0,51.0,54.0,65.0,61.0,-19.0,-15.0,-9.0,-53.0,-45.0,-17.0,-15.0,-18.0,-29.0,-25.0,3,2,55.0
62,49.8,56.333333333333336,59.857142857142854,59.0,58.111111111111114,57.7,9.884331034521264,18.28296110225765,19.117431586805544,17.864569884071013,16.922207631131084,16.007290005910846,36.0,55.0,51.0,45.0,89.0,81.0,53.0,51.0,54.0,65.0,26.0,7.0,11.0,17.0,-27.0,-19.0,9.0,11.0,8.0,-3.0,4,2,36.0
75,55.8,54.0,59.0,61.75,60.77777777777778,59.8,14.342245291445835,13.564659966250522,18.119970566569176,18.491310700666176,17.541221292841737,16.824585185574907,62.0,36.0,55.0,51.0,45.0,89.0,81.0,53.0,51.0,54.0,13.0,39.0,20.0,24.0,30.0,-14.0,-6.0,22.0,24.0,21.0,5,2,62.0
57,57.0,56.0,54.42857142857143,58.75,61.22222222222222,60.4,14.089002803605378,12.837445228704958,12.434590770067487,16.790728734291772,17.36935359892372,16.581113754308944,75.0,62.0,36.0,55.0,51.0,45.0,89.0,81.0,53.0,51.0,-18.0,-5.0,21.0,2.0,6.0,12.0,-32.0,-24.0,4.0,6.0,6,2,75.0
43,54.6,54.666666666666664,54.142857142857146,53.0,57.0,59.4,15.469324484281795,13.837148068394235,12.707328219424822,12.200702555883526,16.560495161679192,17.36023553347643,57.0,75.0,62.0,36.0,55.0,51.0,45.0,89.0,81.0,53.0,-14.0,-32.0,-19.0,7.0,-12.0,-8.0,-2.0,-46.0,-38.0,-10.0,0,2,57.0
41,55.6,52.333333333333336,52.714285714285715,52.5,51.666666666666664,55.4,14.06413879339934,14.908610487455439,13.646907900256934,12.649110640673515,12.09338662244782,16.41273218503786,43.0,57.0,75.0,62.0,36.0,55.0,51.0,45.0,89.0,81.0,-2.0,-16.0,-34.0,-21.0,5.0,-14.0,-10.0,-4.0,-48.0,-40.0,1,2,43.0
37,50.6,52.5,50.142857142857146,50.75,50.77777777777778,50.2,15.582040944625971,14.693535993762687,14.792211592913473,13.802173741842259,12.91102027124287,12.30898497485113,41.0,43.0,57.0,75.0,62.0,36.0,55.0,51.0,45.0,89.0,-4.0,-6.0,-20.0,-38.0,-25.0,1.0,-18.0,-14.0,-8.0,-52.0,2,2,41.0
47,45.0,50.0,51.714285714285715,49.75,50.333333333333336,50.4,7.615773105863925,14.014278433083865,13.573433435873739,13.739931378493644,12.971121771072843,12.231107881136516,37.0,41.0,43.0,57.0,75.0,62.0,36.0,55.0,51.0,45.0,10.0,6.0,4.0,-10.0,-28.0,-15.0,11.0,-8.0,-4.0,2.0,3,2,37.0
55,44.6,46.666666666666664,50.714285714285715,52.125,50.333333333333336,50.8,6.8410525505948465,7.941452428030157,12.932056883500596,12.620136970051359,12.971121771072843,12.318008497047447,47.0,37.0,41.0,43.0,57.0,75.0,62.0,36.0,55.0,51.0,8.0,18.0,14.0,12.0,-2.0,-20.0,-7.0,19.0,0.0,4.0,4,2,47.0
74,50.8,49.5,50.57142857142857,53.625,54.55555555555556,52.7,14.63557310118057,13.47219358530746,12.620844436317016,14.530141086720388,13.875437931026813,14.337596265297279,55.0,47.0,37.0,41.0,43.0,57.0,75.0,62.0,36.0,55.0,19.0,27.0,37.0,33.0,31.0,17.0,-1.0,12.0,38.0,19.0,5,2,55.0
65,55.6,53.166666666666664,51.714285714285715,52.375,54.888888888888886,55.6,14.553350129781125,14.316656965460417,13.622460444847269,12.749649855136076,14.110673659011146,13.492384683385083,74.0,55.0,47.0,37.0,41.0,43.0,57.0,75.0,62.0,36.0,-9.0,10.0,18.0,28.0,24.0,22.0,8.0,-10.0,3.0,29.0,6,2,74.0
45,57.2,53.833333333333336,52.0,50.875,51.55555555555556,53.9,12.255610959882837,13.717385562368156,13.428824718989118,12.833410636749239,12.176936305071882,13.666260156555872,65.0,74.0,55.0,47.0,37.0,41.0,43.0,57.0,75.0,62.0,-20.0,-29.0,-10.0,-2.0,8.0,4.0,2.0,-12.0,-30.0,-17.0,0,2,65.0
63,60.4,58.166666666666664,55.142857142857146,53.375,52.22222222222222,52.7,10.945318634009714,11.214573851318049,12.992671927264368,13.026758175825192,12.666666666666663,12.037441588643318,45.0,65.0,74.0,55.0,47.0,37.0,41.0,43.0,57.0,75.0,18.0,-2.0,-11.0,8.0,16.0,26.0,22.0,20.0,6.0,-12.0,1,3,45.0
53,60.0,59.166666666666664,57.42857142857143,54.875,53.333333333333336,52.3,11.224972160321837,10.24532413673021,10.422046229941957,12.052711609544845,12.186057606953936,11.944780357033675,63.0,45.0,65.0,74.0,55.0,47.0,37.0,41.0,43.0,57.0,-10.0,8.0,-12.0,-21.0,-2.0,6.0,16.0,12.0,10.0,-4.0,2,3,63.0
51,55.4,58.5,58.0,56.625,54.44444444444444,53.1,8.414273587185068,10.691117808723273,9.848857801796091,9.91301453357439,11.348029687032795,11.51279481465922,53.0,63.0,45.0,65.0,74.0,55.0,47.0,37.0,41.0,43.0,-2.0,-12.0,6.0,-14.0,-23.0,-4.0,4.0,14.0,10.0,8.0,3,3,53.0
54,53.2,55.166666666666664,57.857142857142854,57.5,56.333333333333336,54.4,6.496152707564707,7.547626558506085,9.906707684334735,9.22728872111722,9.313968005098573,10.699948078794062,51.0,53.0,63.0,45.0,65.0,74.0,55.0,47.0,37.0,41.0,3.0,1.0,-9.0,9.0,-11.0,-20.0,-1.0,7.0,17.0,13.0,4,3,51.0
63,56.8,54.833333333333336,56.285714285714285,58.5,58.111111111111114,57.0,5.761944116355197,7.054549359574033,7.499206307209783,9.350324669687751,8.823894327966025,9.030811456096043,54.0,51.0,53.0,63.0,45.0,65.0,74.0,55.0,47.0,37.0,9.0,12.0,10.0,0.0,18.0,-2.0,-11.0,8.0,16.0,26.0,5,3,54.0
70,58.2,59.0,57.0,58.0,59.77777777777778,59.3,8.043631020876099,7.456540752922896,8.621678104251693,8.46842876301653,9.549578233851186,9.129317852087555,63.0,54.0,51.0,53.0,63.0,45.0,65.0,74.0,55.0,47.0,7.0,16.0,19.0,17.0,7.0,25.0,5.0,-4.0,15.0,23.0,6,3,63.0
41,55.8,55.333333333333336,56.42857142857143,55.0,56.111111111111114,57.9,11.166915420114915,10.053191864610286,9.623879031817022,9.783367810436529,9.739666889124647,10.785278031753387,70.0,63.0,54.0,51.0,53.0,63.0,45.0,65.0,74.0,55.0,-29.0,-22.0,-13.0,-10.0,-12.0,-22.0,-4.0,-24.0,-33.0,-14.0,0,3,70.0
58,57.2,56.166666666666664,55.714285714285715,56.625,55.333333333333336,56.3,10.848963084092427,10.028293307770095,9.232447954800232,8.92728562170095,9.205976319760978,9.202052911050757,41.0,70.0,63.0,54.0,51.0,53.0,63.0,45.0,65.0,74.0,17.0,-12.0,-5.0,4.0,7.0,5.0,-5.0,13.0,-7.0,-16.0,1,3,41.0
48,56.0,55.666666666666664,55.0,54.75,55.666666666666664,54.6,11.597413504743214,10.40512694140088,9.660917830792949,8.972179222463176,8.83176086632784,8.983936281558933,58.0,41.0,70.0,63.0,54.0,51.0,53.0,63.0,45.0,65.0,-10.0,7.0,-22.0,-15.0,-6.0,-3.0,-5.0,-15.0,3.0,-17.0,2,3,58.0
57,54.8,56.166666666666664,55.857142857142854,55.25,55.0,55.8,10.986355173577826,10.381072520056223,9.511897312113406,8.972179222463176,8.426149773176352,8.337332373793851,48.0,58.0,41.0,70.0,63.0,54.0,51.0,53.0,63.0,45.0,9.0,-1.0,16.0,-13.0,-6.0,3.0,6.0,4.0,-6.0,12.0,3,3,48.0
66,54.0,56.666666666666664,57.57142857142857,57.125,56.44444444444444,56.1,9.66953980290687,10.838204033264297,10.179344164485617,9.508454884244559,9.125665881335875,8.672433978480957,57.0,48.0,58.0,41.0,70.0,63.0,54.0,51.0,53.0,63.0,9.0,18.0,8.0,25.0,-4.0,3.0,12.0,15.0,13.0,3.0,4,3,57.0
71,60.0,56.833333333333336,58.714285714285715,59.25,58.666666666666664,57.9,8.860022573334689,11.089033621856618,11.279986491042221,10.552589391099362,10.024968827881706,9.757618106439253,66.0,57.0,48.0,58.0,41.0,70.0,63.0,54.0,51.0,53.0,5.0,14.0,23.0,13.0,30.0,1.0,8.0,17.0,20.0,18.0,5,3,66.0
